144;019;Cabang Pembantu Kerjo Karanganyar
145;003;Cabang Pembantu Sumpiuh Purwokerto
146;011;Cabang Pembantu Purwantoro Wonogiri
147;032;Cabang Pembantu Bandar Batang
148;021;Cabang Pembantu Banyumanik Semarang
149;003;Cabang Pembantu Wangon Purwokerto
150;037;Cabang Pembantu Kedungwuni Kajen
151;030;Cabang Pembantu Mojolaban Sukoharjo
153;036;Cabang Pembantu Pasar Induk Kramatjati Jakarta
155;031;Cabang Pembantu Mranggen Demak
158;023;Cabang Pembantu Kaliwiro Wonosobo
159;006;Cabang Pembantu Kayen Pati
160;025;Cabang Pembantu Belik Pemalang
162;017;Cabang Pembantu Gubug Purwodadi
163;035;Cabang Pembantu Margasari Slawi
164;029;Cabang Pembantu Lasem Rembang
165;022;Cabang Pembantu Ambarawa Ungaran
166;004;Cabang Pembantu Margadana Tegal
168;028;Cabang Pembantu Jatibarang Brebes
172;037;Cabang Pembantu Doro Kajen
173;039;Cabang Pembantu Salaman Mungkid
174;020;Cabang Pembantu Purwodadi Purworejo
175;013;Cabang Pembantu Wanadadi Banjarnegara
176;039;Cabang Pembantu Salam Mungkid
177;014;Cabang Pembantu Kranggan Temanggung
178;029;Cabang Pembantu Kragan Rembang
179;010;Cabang Pembantu Gondang Sragen
181;016;Cabang Pembantu Ngawen Blora
183;021;Cabang Pembantu Ngaliyan Semarang
184;019;Cabang Pembantu Gondangrejo Karanganyar
185;023;Cabang Pembantu Selomerto Wonosobo
186;022;Cabang Pembantu Tengaran Ungaran
187;030;Cabang Pembantu Solo Baru Sukoharjo
189;035;Cabang Pembantu Kemantran Slawi
191;008;Cabang Pembantu Ayah Kebumen
192;018;Cabang Pembantu Sukorejo Kendal
196;031;Cabang Pembantu Dempet Demak
